onset	duration	trial_period	trial	TR_relativeToTrialOnset	trial_type	response_time	button_pressed	choice	outcome	gamble_position	rightbutton_position	total_gain
440.0001	2	prechoice	36	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
442.0001	4	choice	36	2	positiveSkew	1.1187	left	gamble	n/a	top	bottom	n/a
446.0001	2	outcome	36	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	-0.05
448.0001	2	ITI	36	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
450.0001	2	ITI	36	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
452.0001	2	ITI	36	7	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
454.0001	2	prechoice	37	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
456.0001	4	choice	37	2	negativeSkew	1.4026	right	gamble	n/a	bottom	bottom	n/a
460.0001	2	outcome	37	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	1.7
462.0001	2	ITI	37	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
464.0001	2	ITI	37	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
466.0001	2	ITI	37	7	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
468.0001	2	prechoice	38	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
470.0001	4	choice	38	2	positiveSkew	0.73623	right	gamble	n/a	bottom	bottom	n/a
474.0001	2	outcome	38	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	-0.05
476.0001	2	ITI	38	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
478.0001	2	ITI	38	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
480.0001	2	prechoice	39	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
482.0001	4	choice	39	2	negativeSkew	0.73575	left	gamble	n/a	bottom	top	n/a
486.0001	2	outcome	39	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	1.7
488.0001	2	ITI	39	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
490.0001	2	prechoice	40	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
492.0001	4	choice	40	2	negativeSkew	0.78607	left	gamble	n/a	top	bottom	n/a
496.0001	2	outcome	40	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	3.45
498.0001	2	ITI	40	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
500.0001	2	prechoice	41	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
502.0001	4	choice	41	2	negativeSkew	1.0024	left	gamble	n/a	bottom	top	n/a
506.0001	2	outcome	41	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	5.2
508.0001	2	ITI	41	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
510.0001	2	prechoice	42	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
512.0001	4	choice	42	2	positiveSkew	0.76918	left	gamble	n/a	bottom	top	n/a
516.0001	2	outcome	42	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	3.45
518.0001	2	ITI	42	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
520.0001	2	ITI	42	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
522.0001	2	ITI	42	7	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
524.0001	2	prechoice	43	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
526.0001	4	choice	43	2	negativeSkew	0.73596	left	gamble	n/a	bottom	top	n/a
530.0001	2	outcome	43	4	negativeSkew	n/a	n/a	n/a	-5.25	n/a	n/a	-1.8
532.0001	2	ITI	43	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
534.0001	2	ITI	43	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
536.0001	2	ITI	43	7	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
538.0001	2	prechoice	44	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
540.0001	4	choice	44	2	symmetric	1.8526	left	safe	n/a	bottom	bottom	n/a
544.0001	2	outcome	44	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	-1.8
546.0001	2	ITI	44	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
548.0001	2	ITI	44	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
550.0001	2	prechoice	45	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
552.0001	4	choice	45	2	positiveSkew	0.91929	right	gamble	n/a	top	top	n/a
556.0001	2	outcome	45	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	-3.55
558.0001	2	ITI	45	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
560.0001	2	prechoice	46	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
562.0001	4	choice	46	2	symmetric	0.86969	right	gamble	n/a	top	top	n/a
566.0001	2	outcome	46	4	symmetric	n/a	n/a	n/a	3.05	n/a	n/a	-0.5
568.0001	2	ITI	46	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
570.0001	2	prechoice	47	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
572.0001	4	choice	47	2	symmetric	1.0022	left	safe	n/a	top	top	n/a
576.0001	2	outcome	47	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	-0.5
578.0001	2	ITI	47	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
580.0001	2	ITI	47	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
582.0001	2	prechoice	48	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
584.0001	4	choice	48	2	positiveSkew	0.9199	right	gamble	n/a	top	top	n/a
588.0001	2	outcome	48	4	positiveSkew	n/a	n/a	n/a	5.25	n/a	n/a	4.75
590.0001	2	ITI	48	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
592.0001	2	prechoice	49	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
594.0001	4	choice	49	2	symmetric	0.70249	left	gamble	n/a	top	bottom	n/a
598.0001	2	outcome	49	4	symmetric	n/a	n/a	n/a	-3.05	n/a	n/a	1.7
600.0001	2	ITI	49	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
602.0001	2	ITI	49	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
604.0001	2	prechoice	50	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
606.0001	4	choice	50	2	positiveSkew	0.80278	right	safe	n/a	top	bottom	n/a
610.0001	2	outcome	50	4	positiveSkew	n/a	n/a	n/a	0.0	n/a	n/a	1.7
612.0001	2	ITI	50	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
614.0001	2	prechoice	51	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
616.0001	4	choice	51	2	symmetric	0.78606	left	gamble	n/a	bottom	top	n/a
620.0001	2	outcome	51	4	symmetric	n/a	n/a	n/a	-3.05	n/a	n/a	-1.35
622.0001	2	ITI	51	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
624.0001	2	ITI	51	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
626.0001	2	prechoice	52	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
628.0001	4	choice	52	2	positiveSkew	0.58669	right	gamble	n/a	top	top	n/a
632.0001	2	outcome	52	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	-3.1
634.0001	2	ITI	52	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
636.0001	2	prechoice	53	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
638.0001	4	choice	53	2	symmetric	0.68599	right	gamble	n/a	top	top	n/a
642.0001	2	outcome	53	4	symmetric	n/a	n/a	n/a	3.05	n/a	n/a	-0.05
644.0001	2	ITI	53	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
646.0001	2	prechoice	54	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
648.0001	4	choice	54	2	positiveSkew	1.2525	left	gamble	n/a	top	bottom	n/a
652.0001	2	outcome	54	4	positiveSkew	n/a	n/a	n/a	5.25	n/a	n/a	5.2
654.0001	2	ITI	54	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
656.0001	2	prechoice	55	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
658.0001	4	choice	55	2	negativeSkew	0.78605	left	gamble	n/a	top	bottom	n/a
662.0001	2	outcome	55	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	6.95
664.0001	2	ITI	55	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
666.0001	2	ITI	55	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
668.0001	2	prechoice	56	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
670.0001	4	choice	56	2	positiveSkew	0.78622	left	safe	n/a	top	top	n/a
674.0001	2	outcome	56	4	positiveSkew	n/a	n/a	n/a	0.0	n/a	n/a	6.95
676.0001	2	ITI	56	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
678.0001	2	ITI	56	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
680.0001	2	ITI	56	7	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
682.0001	2	prechoice	57	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
684.0001	4	choice	57	2	negativeSkew	0.78626	left	gamble	n/a	top	bottom	n/a
688.0001	2	outcome	57	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	8.7
690.0001	2	ITI	57	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
692.0001	2	prechoice	58	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
694.0001	4	choice	58	2	symmetric	0.90256	right	gamble	n/a	top	top	n/a
698.0001	2	outcome	58	4	symmetric	n/a	n/a	n/a	3.05	n/a	n/a	11.75
700.0001	2	ITI	58	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
702.0001	2	ITI	58	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
704.0001	2	prechoice	59	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
706.0001	4	choice	59	2	symmetric	0.80248	left	safe	n/a	bottom	bottom	n/a
710.0001	2	outcome	59	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	11.75
712.0001	2	ITI	59	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
714.0001	2	ITI	59	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
716.0001	2	prechoice	60	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
718.0001	4	choice	60	2	negativeSkew	0.9357	right	gamble	n/a	bottom	bottom	n/a
722.0001	2	outcome	60	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	13.5
724.0001	2	ITI	60	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
726.0001	2	prechoice	61	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
728.0001	4	choice	61	2	symmetric	0.76912	left	safe	n/a	bottom	bottom	n/a
732.0001	2	outcome	61	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	13.5
734.0001	2	ITI	61	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
736.0001	2	ITI	61	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
738.0001	2	prechoice	62	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
740.0001	4	choice	62	2	negativeSkew	1.4031	right	gamble	n/a	top	top	n/a
744.0001	2	outcome	62	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	15.25
746.0001	2	ITI	62	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
748.0001	2	ITI	62	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
750.0001	2	prechoice	63	1	symmetric	n/a	n/a	n/a	n/a	bottom	n/a	n/a
752.0001	4	choice	63	2	symmetric	0.9026	right	safe	n/a	bottom	top	n/a
756.0001	2	outcome	63	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	15.25
758.0001	2	ITI	63	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
760.0001	2	ITI	63	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
762.0001	2	prechoice	64	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
764.0001	4	choice	64	2	negativeSkew	2.4028	right	safe	n/a	bottom	top	n/a
768.0001	2	outcome	64	4	negativeSkew	n/a	n/a	n/a	0.0	n/a	n/a	15.25
770.0001	2	ITI	64	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
772.0001	2	ITI	64	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
774.0001	2	ITI	64	7	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
776.0001	2	prechoice	65	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
778.0001	4	choice	65	2	positiveSkew	0.88586	right	gamble	n/a	bottom	bottom	n/a
782.0001	2	outcome	65	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	13.5
784.0001	2	ITI	65	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
786.0001	2	ITI	65	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
788.0001	2	ITI	65	7	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
790.003	2	prechoice	66	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
792.003	4	choice	66	2	positiveSkew	1.0359	left	gamble	n/a	top	bottom	n/a
796.003	2	outcome	66	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	11.75
798.003	2	ITI	66	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
800.003	2	ITI	66	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
802.0001	2	prechoice	67	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
804.0001	4	choice	67	2	negativeSkew	0.90248	left	gamble	n/a	top	bottom	n/a
808.0001	2	outcome	67	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	13.5
810.0001	2	ITI	67	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
812.0001	2	prechoice	68	1	negativeSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
814.0001	4	choice	68	2	negativeSkew	1.853	left	safe	n/a	top	top	n/a
818.0001	2	outcome	68	4	negativeSkew	n/a	n/a	n/a	0.0	n/a	n/a	13.5
820.0001	2	ITI	68	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
822.0001	2	ITI	68	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
824.0001	2	ITI	68	7	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
826.0001	2	prechoice	69	1	negativeSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
828.0001	4	choice	69	2	negativeSkew	0.80258	right	gamble	n/a	bottom	bottom	n/a
832.0001	2	outcome	69	4	negativeSkew	n/a	n/a	n/a	1.75	n/a	n/a	15.25
834.0001	2	ITI	69	5	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
836.0001	2	ITI	69	6	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
838.0001	2	ITI	69	7	negativeSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
840.0001	2	prechoice	70	1	symmetric	n/a	n/a	n/a	n/a	top	n/a	n/a
842.0001	4	choice	70	2	symmetric	1.2365	right	safe	n/a	top	bottom	n/a
846.0001	2	outcome	70	4	symmetric	n/a	n/a	n/a	0.0	n/a	n/a	15.25
848.0001	2	ITI	70	5	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
850.0001	2	ITI	70	6	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
852.0001	2	ITI	70	7	symmetric	n/a	n/a	n/a	n/a	n/a	n/a	n/a
854.0001	2	prechoice	71	1	positiveSkew	n/a	n/a	n/a	n/a	top	n/a	n/a
856.0001	4	choice	71	2	positiveSkew	0.81941	left	gamble	n/a	top	bottom	n/a
860.0001	2	outcome	71	4	positiveSkew	n/a	n/a	n/a	-1.75	n/a	n/a	13.5
862.0001	2	ITI	71	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
864.0001	2	ITI	71	6	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
866.0001	2	prechoice	72	1	positiveSkew	n/a	n/a	n/a	n/a	bottom	n/a	n/a
868.0001	4	choice	72	2	positiveSkew	0.7857	left	gamble	n/a	bottom	top	n/a
872.0001	2	outcome	72	4	positiveSkew	n/a	n/a	n/a	5.25	n/a	n/a	18.75
874.0001	2	ITI	72	5	positiveSkew	n/a	n/a	n/a	n/a	n/a	n/a	n/a
